	C0_1	C0_2	C63_1	C63_2
ASV_758	0	0	7	0
ASV_759	0	0	5	4
ASV_760	0	0	3	0
ASV_761	0	0	2	4
ASV_762	0	0	2	6
ASV_763	0	0	1	0
ASV_764	0	0	1	0
ASV_765	0	0	1	1
ASV_766	0	0	0	6
ASV_767	0	0	0	1
ASV_770	8	0	0	0
ASV_771	2	2	0	0
ASV_772	2	2	0	0
ASV_773	2	1	0	1
ASV_774	2	2	0	0
ASV_775	2	0	0	0
ASV_776	2	3	0	0
ASV_777	1	0	1	1
ASV_778	1	0	0	2
ASV_779	1	0	2	1
ASV_780	1	0	1	0
ASV_781	1	0	1	0
ASV_782	1	6	0	0
ASV_783	0	5	0	3
ASV_784	0	3	2	0
ASV_785	0	1	4	3
ASV_786	0	1	0	1
ASV_787	0	1	1	0
ASV_788	0	1	0	0
ASV_789	0	1	0	1
ASV_790	0	0	6	1
ASV_791	0	0	6	2
ASV_792	0	0	5	1
ASV_793	0	0	5	3
ASV_794	0	0	5	3
ASV_795	0	0	4	1
ASV_796	0	0	4	0
ASV_797	0	0	3	0
ASV_798	0	0	3	1
ASV_799	0	0	2	0
ASV_800	0	0	1	5
ASV_801	0	0	0	4
ASV_802	0	0	0	1
ASV_809	4	1	0	0
ASV_810	3	3	0	0
ASV_811	3	1	0	0
ASV_812	2	0	1	1
ASV_813	1	0	1	0
ASV_814	1	0	3	3
ASV_815	1	0	1	0
ASV_816	1	1	1	1
ASV_817	1	3	1	0
ASV_818	1	0	5	0
ASV_819	1	1	0	0
ASV_820	1	1	0	1
ASV_821	1	1	0	0
ASV_822	1	0	3	0
ASV_823	1	1	2	1
ASV_824	0	5	1	0
ASV_825	0	3	2	1
ASV_826	0	2	3	2
ASV_827	0	2	0	2
ASV_828	0	1	0	0
ASV_829	0	1	4	1
ASV_830	0	0	5	0
ASV_831	0	0	4	2
ASV_832	0	0	4	2
ASV_833	0	0	1	1
ASV_834	0	0	1	1
ASV_835	0	0	0	5
ASV_841	4	1	0	0
ASV_842	4	0	0	2
ASV_843	3	1	0	0
ASV_844	3	0	1	0
ASV_845	2	2	1	0
ASV_846	2	0	4	0
ASV_847	1	1	2	0
ASV_848	1	0	0	0
ASV_849	1	0	0	1
ASV_850	1	0	2	3
ASV_851	1	2	0	0
ASV_852	0	4	0	0
ASV_853	0	3	0	0
ASV_854	0	2	0	1
ASV_855	0	2	2	1
ASV_856	0	0	6	0
ASV_857	0	0	4	0
ASV_858	0	0	4	0
ASV_859	0	0	3	3
ASV_860	0	0	3	3
ASV_861	0	0	2	2
ASV_862	0	0	2	0
ASV_863	0	0	2	2
ASV_864	0	0	1	3
ASV_865	0	0	1	1
ASV_866	0	0	1	1
ASV_867	0	0	0	3
ASV_868	0	0	0	3
ASV_869	0	0	0	2
ASV_878	5	0	0	0
ASV_879	3	2	0	0
ASV_880	3	1	0	0
ASV_881	2	0	1	0
ASV_882	2	3	0	0
ASV_883	1	1	0	1
ASV_884	1	0	0	0
ASV_885	1	1	1	0
ASV_886	1	0	1	1
ASV_887	1	1	1	0
ASV_888	1	3	0	0
ASV_889	1	1	0	0
ASV_890	1	0	1	0
ASV_891	1	1	2	1
ASV_892	1	1	0	0
ASV_893	1	0	3	0
ASV_894	1	0	0	0
ASV_895	1	1	0	0
ASV_896	0	5	0	0
ASV_897	0	5	0	0
ASV_898	0	2	1	2
ASV_899	0	2	0	0
ASV_900	0	1	0	0
ASV_901	0	1	1	0
ASV_902	0	1	0	0
ASV_903	0	1	3	0
