""	"K1_s"	"K2_s"	"K1_t"	"K2_t"	"C0_1_C"	"C0_2_C"	"C63_1_C"	"C63_2_C"	"T0_1_C"	"T0_2_C"	"T63_1_C"	"T63_2_C"	"C0_1_V"	"C0_2_V"	"C63_1_V"	"C63_2_V"	"T0_1_V"	"T0_2_V"	"T63_1_V"	"T63_2_V"	"S12_0_3"	"S12_12_15"	"S12_21_24"	"S3_0_3"	"S3_12_15"	"S3_21_24"	"S9_0_3"	"S9_12_15"	"S9_21_24"
"K-NODE_4098_length_6604_cov_14.745610"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_4257_length_6506_cov_7.245233"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_4337_length_6462_cov_16.197440"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_4434_length_6412_cov_15.641026"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_4473_length_6390_cov_25.650671"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_4525_length_6353_cov_15.559860"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_4664_length_6262_cov_16.173675"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_4665_length_6262_cov_13.921701"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_4746_length_6218_cov_13.614473"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_4771_length_6205_cov_31.192520"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_4810_length_6184_cov_15.389134"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_4858_length_6159_cov_21.897936"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_4895_length_6135_cov_15.658224"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_4909_length_6128_cov_16.159065"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_4967_length_6101_cov_7.742805"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_5041_length_6061_cov_14.369797"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_5064_length_6049_cov_15.651151"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_5089_length_6038_cov_15.036102"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_5193_length_5984_cov_15.055321"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_5254_length_5955_cov_16.667627"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_5451_length_5857_cov_15.050500"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_5572_length_5804_cov_14.755436"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_5623_length_5775_cov_15.976573"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_5636_length_5772_cov_5.395837"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_5706_length_5744_cov_16.534892"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_5767_length_5725_cov_12.810053"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_5844_length_5697_cov_72.634527"	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_5872_length_5685_cov_15.515453"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_5951_length_5660_cov_8.521855"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_6072_length_5611_cov_14.432685"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_6134_length_5578_cov_16.206047"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_6145_length_5574_cov_12.676572"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_6220_length_5545_cov_18.249909"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_6222_length_5544_cov_12.682820"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_6471_length_5459_cov_7.245744"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_6507_length_5450_cov_15.978313"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_6516_length_5448_cov_15.116262"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_6541_length_5440_cov_15.187001"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_6617_length_5415_cov_14.462127"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_6683_length_5392_cov_14.300169"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_6684_length_5391_cov_15.996064"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_6766_length_5367_cov_13.949360"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_6798_length_5355_cov_13.589434"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_6815_length_5349_cov_29.528523"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_6940_length_5312_cov_6.728933"	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_7402_length_5160_cov_10.756121"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_7446_length_5144_cov_13.723718"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
