	T0_1_C	T0_2_C	T63_1_C	T63_2_C
KSW-C63_2_V_NODE_320_length_8095_cov_170.122637||full	4.66801697375939	5.39153529097666	6.8108531001075	7.1339040086149
KSW-C63_2_V_NODE_323_length_8028_cov_111.034366||full	6.23215248352309	5.50385340375329	7.83159001314107	7.84656792087884
KSW-C63_2_V_NODE_326_length_8004_cov_10.103912||full	2.53901901765115	3.41811642011516	2.53901901765115	2.53901901765115
KSW-C63_2_V_NODE_327_length_8003_cov_10.731631||full	4.52054547739409	4.31798476793454	5.43601094364025	5.00368996020601
KSW-C63_2_V_NODE_330_length_7967_cov_19.069009||full	4.16027612107579	3.41811642011516	5.00930154551855	5.54698661591734
KSW-C63_2_V_NODE_331_length_7953_cov_1609.497088||full	2.53901901765115	3.16536571354259	2.53901901765115	2.53901901765115
KSW-C63_2_V_NODE_340_length_7849_cov_9.278034||full	4.86196483319821	4.55719768406425	6.02647796008757	5.42984063756023
KSW-C63_2_V_NODE_342_length_7807_cov_4.003483||full	3.43735863993487	3.76440533681124	2.53901901765115	2.53901901765115
KSW-C63_2_V_NODE_345_length_7770_cov_4.513415||full	2.53901901765115	3.89961208311807	4.83105319218137	4.37515032793527
KSW-C63_2_V_NODE_354_length_7624_cov_49.391597||full	6.36095408481717	5.96045713474131	6.85656999419753	6.70756411683151
KSW-C63_2_V_NODE_358_length_7526_cov_4.615714||full	3.63087240897663	3.16536571354259	2.53901901765115	2.53901901765115
KSW-C63_2_V_NODE_366_length_7415_cov_12.676766||full	2.53901901765115	2.53901901765115	5.43601094364025	5.16091300920306
KSW-C63_2_V_NODE_372_length_7343_cov_75.571762||full	3.17928590080638	4.31798476793454	7.78515266855908	9.11093216144515
KSW-C63_2_V_NODE_374_length_7336_cov_8.071419||full	2.53901901765115	2.53901901765115	3.64780911870078	3.64484888295108
KSW-C63_2_V_NODE_376_length_7332_cov_7.660712||full	3.79048013381601	4.12772345370812	6.76363164735915	6.01971641983957
KSW-C63_2_V_NODE_379_length_7301_cov_152.650152||full	2.53901901765115	3.16536571354259	5.8557332264266	5.93698565630794
KSW-C63_2_V_NODE_380_length_7285_cov_171.417981||full	6.0140791275085	5.53936851290193	7.3789415407479	7.84656792087884
KSW-C63_2_V_NODE_383_length_7268_cov_7.843477||full	3.63087240897663	2.53901901765115	4.62505266837835	2.53901901765115
KSW-C63_2_V_NODE_386_length_7224_cov_558.355838||full	5.75629781824951	6.38458133517049	6.66425198229582	7.75369480183338
KSW-C63_2_V_NODE_391_length_7177_cov_3.655434||full	3.92818559683557	3.60781406348217	2.53901901765115	2.53901901765115
KSW-C63_2_V_NODE_402_length_7051_cov_6.748999||full	3.17928590080638	3.16536571354259	3.64780911870078	3.64484888295108
