OUT	C0_1	C0_2	C63_1	C63_2	T0_1	T0_2	T63_1	T63_2
Prokaryotic_ASV_425	4	6	0	0	5	6	0	0
Prokaryotic_ASV_426	1	6	7	3	0	0	1	3
Prokaryotic_ASV_427	0	0	21	3	0	2	2	4
Prokaryotic_ASV_428	0	0	9	11	0	0	1	5
Prokaryotic_ASV_429	0	0	9	2	0	0	5	9
Prokaryotic_ASV_430	3	3	2	0	3	5	2	0
Prokaryotic_ASV_431	2	0	12	6	0	3	3	0
Prokaryotic_ASV_432	2	3	2	11	3	0	8	3
Prokaryotic_ASV_433	0	0	10	1	2	2	1	6
Prokaryotic_ASV_434	0	0	8	7	1	2	4	5
Prokaryotic_ASV_435	0	0	10	7	0	0	11	3
Prokaryotic_ASV_436	0	0	7	10	0	0	2	11
Prokaryotic_ASV_437	0	0	1	3	0	0	7	9
Prokaryotic_ASV_438	0	0	1	6	0	0	11	11
Prokaryotic_ASV_439	0	0	0	2	0	0	16	9
Prokaryotic_ASV_440	1	3	1	6	2	3	2	8
Prokaryotic_ASV_441	1	3	6	9	1	3	0	0
Prokaryotic_ASV_442	0	1	1	7	0	0	12	0
Prokaryotic_ASV_443	2	4	4	4	3	3	1	2
Prokaryotic_ASV_444	0	0	5	5	2	0	10	2
Prokaryotic_ASV_445	0	0	15	13	0	1	1	0
Prokaryotic_ASV_446	0	0	6	11	0	0	6	7
Prokaryotic_ASV_447	0	0	2	1	2	7	5	8
Prokaryotic_ASV_448	0	0	0	1	0	0	19	22
Prokaryotic_ASV_449	0	0	0	0	0	1	8	18
Prokaryotic_ASV_450	3	6	0	0	4	6	0	0
Prokaryotic_ASV_451	3	0	0	0	10	6	0	0
Prokaryotic_ASV_452	0	2	11	2	0	0	5	3
Prokaryotic_ASV_453	0	1	1	3	0	0	9	6
Prokaryotic_ASV_454	0	0	10	4	0	0	2	3
Prokaryotic_ASV_455	0	0	8	1	0	0	8	7
Prokaryotic_ASV_456	0	0	5	7	0	0	9	6
Prokaryotic_ASV_457	0	0	0	0	0	0	13	10
Prokaryotic_ASV_458	6	3	2	0	3	4	0	0
