vMAGs	profile	Kingdom	Phylum	Class	Order	Family
KSW-V-S2C14466	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-k141_566877	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_650996||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-V-S2C19805	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_45706	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_527061	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_741861||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C2081	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S2C19401	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S2C20063	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S2C18985	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_347933	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_519273||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C0_2-NODE_127_length_6970_cov_4.758062	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S7C1188	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_178692	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S2C14429	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S5C2547	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S5C1114	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_497393||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_615445||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S1C19478	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C63_2-NODE_438_length_6793_cov_17.212971	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_993487	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-S2C2332	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_2-NODE_135_length_6749_cov_7475.127577	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S3C15094	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_225410||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C0_1-NODE_174_length_6690_cov_25.879126	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_913274||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_149167||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C0_2-NODE_138_length_6659_cov_4.723047||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_1033891||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_940249||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_191336||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_479160||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S6C4149	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C63_2-NODE_456_length_6629_cov_126.751293||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_75238	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_2-NODE_136_length_6741_cov_5.969488||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-k141_850582	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_871082||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_328459	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S8C14024	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-k141_565719	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S8C3759	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S2C8669	Classified	Viruses	Others	Tokiviricetes	Ligamenvirales	Rudiviridae
KSW-V-k141_856108||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
