Contig	C0_1_V	C0_2_V	C63_1_V	C63_2_V	T0_1_V	T0_2_V	T63_1_V	T63_2_V
KSW-C63_1_V_NODE_142_length_10388_cov_58.545534||full	29.059202	24.785225	33.06494	23.269836	35.896954	13.730129	14.931526	7.0917
KSW-C63_1_V_NODE_152_length_9949_cov_3.949161||full	0	0	2.6601777	1.1792642	3.291553	0	13.891472	11.93639
KSW-C63_1_V_NODE_154_length_9883_cov_1235.464998||full	1028.0763	14614.645	655.1742	2343.987	3333.1204	10990.057	526.17346	1511.7539
KSW-C63_1_V_NODE_156_length_9828_cov_5.608513||full	6.364135	0	3.002338	2.2907908	7.440065	0	2.8569713	2.0258963
KSW-C63_1_V_NODE_160_length_9676_cov_6.061532||full	0	2.2505407	4.410729	2.7210786	2.3625329	0	5.851219	2.8454986
KSW-C63_1_V_NODE_171_length_9466_cov_67.890872||full	60.38016	16.720623	32.68544	35.076435	55.99114	16.462355	41.58264	12.218964
KSW-C63_1_V_NODE_177_length_9289_cov_4.197856||full	0	0	3.3672233	0	1.6816273	0	1.2273868	0
KSW-C63_1_V_NODE_179_length_9235_cov_6.061329||full	5.949734	4.611484	3.5786333	2.068565	5.2459908	1.7483166	0	1.3300248
KSW-C63_1_V_NODE_183_length_9223_cov_5.018106||full	6.7428527	3.1011505	4.3288717	0	8.392872	0	4.034568	0.93903476
KSW-C63_1_V_NODE_184_length_9211_cov_6.941896||full	0	5.151795	6.213513	2.9473417	4.6442103	0	3.497773	2.0769885
KSW-C63_1_V_NODE_192_length_8995_cov_5.744072||full	7.9517593	3.2162654	4.9858046	2.229723	9.739063	0	9.437272	2.673262
KSW-C63_1_V_NODE_196_length_8942_cov_7.965005||full	3.400121	2.5080128	4.794857	6.453461	7.6188865	7.4732437	3.4660623	3.3971539
KSW-C63_1_V_NODE_202_length_8874_cov_5.376460||full	0	0	2.7716668	0	0	0	0.7115855	0
KSW-C63_1_V_NODE_215_length_8562_cov_5.551663||full	0	0	4.6219697	0	2.3760161	0	0.943977	0
KSW-C63_1_V_NODE_217_length_8528_cov_17.696920||full	5.8758917	4.155289	11.926247	6.256381	10.379964	3.56271	4.7622457	2.6684194
KSW-C63_1_V_NODE_224_length_8418_cov_20.240105||full	6.5266776	4.556654	10.889011	16.970022	14.843883	3.1345513	34.22641	13.438128
KSW-C63_1_V_NODE_225_length_8385_cov_6.696999||full	11.498933	9.189051	6.5458345	7.2256513	18.360125	5.3627777	5.3267274	2.0200417
KSW-C63_1_V_NODE_226_length_8363_cov_11.316081||full	0	0	5.0855436	1.3946043	2.8582094	0	2.594512	0
KSW-C63_1_V_NODE_244_length_7981_cov_4.250063||full	0	0	1.5175381	0	0	0	0	0
KSW-C63_1_V_NODE_247_length_7959_cov_6.985071||full	0	0	3.6816204	0	2.3601341	0	2.023812	0
KSW-C63_1_V_NODE_250_length_7950_cov_48.674478||full	17.777441	10.835796	15.934532	12.545964	17.540422	6.6819634	8.781991	5.008785
KSW-C63_1_V_NODE_258_length_7864_cov_13.649763||full	5.800231	8.3914385	3.727049	0	2.2453256	3.178854	0	0
KSW-C63_1_V_NODE_264_length_7749_cov_87.723551||full	70.18113	55.87131	52.311977	55.018192	124.93043	58.91259	53.24987	39.72013
KSW-C63_1_V_NODE_268_length_7673_cov_6.599107||full	3.7824786	2.4992988	3.0759976	1.5291016	5.899844	0	4.0885587	1.4994186
KSW-C63_1_V_NODE_272_length_7585_cov_5.591633||full	3.2192113	2.2064323	3.115343	2.5604198	5.513354	0	9.27923	3.9402392
KSW-C63_1_V_NODE_275_length_7554_cov_20.400320||full	0	0	11.405815	1.4811507	0	0	0	0
KSW-C63_1_V_NODE_279_length_7515_cov_4.047185||full	0	1.9564898	3.9463432	1.5511568	2.0890968	0	1.8776348	0
KSW-C63_1_V_NODE_282_length_7485_cov_4.072544||full	0	0	1.4592932	0	0	0	1.5250441	0
KSW-C63_1_V_NODE_285_length_7449_cov_4.820665||full	0	0	2.0336804	0.69615954	0	0	0.92349845	0
KSW-C63_1_V_NODE_288_length_7401_cov_4.679690||full	0	0	2.4190366	0	3.212153	0	2.482887	1.7995605
KSW-C63_1_V_NODE_297_length_7242_cov_5.335049||full	0	0	3.2149353	3.0876958	2.4665322	0.82450724	7.2651863	3.485554
KSW-C63_1_V_NODE_298_length_7219_cov_5.272613||full	5.0262256	2.9721146	3.1337042	2.0980525	6.146418	0	9.449743	3.528211
KSW-C63_1_V_NODE_303_length_7203_cov_7.636402||full	0	0	6.120195	15.6466055	4.0582347	4.7839665	2.945437	2.2410936
KSW-C63_1_V_NODE_304_length_7192_cov_7.089113||full	5.5255885	3.525691	3.3095853	1.3849825	3.9975855	1.9552505	0	1.2044567
KSW-C63_1_V_NODE_309_length_7148_cov_21.330326||full	0	0	7.970107	2.8415065	3.6560223	0	4.5517015	3.0037942
KSW-C63_1_V_NODE_310_length_7147_cov_4.703751||full	0	0	2.9813812	0	0	0	0	0
KSW-C63_1_V_NODE_325_length_7049_cov_9.612382||full	0	0	6.8831425	1.617454	3.685797	0	2.7317317	1.107899
KSW-C63_1_V_NODE_341_length_6931_cov_5.323735||full	0	0	2.5293176	0	1.4390368	0	1.2523407	0.8405316
KSW-C63_1_V_NODE_353_length_6822_cov_13.595833||full	0	2.6383698	9.78231	1.8926595	6.4138465	0	5.9091053	1.8124386
KSW-C63_1_V_NODE_356_length_6793_cov_8.137281||full	0	0	3.0810218	2.0161464	3.2111897	0	2.4503205	2.5025823
KSW-C63_1_V_NODE_361_length_6769_cov_14.977361||full	0	0	7.090067	1.8139954	2.5080004	0	5.0383735	4.1251755
KSW-C63_1_V_NODE_374_length_6664_cov_4.944167||full	2.3854349	0	4.1623287	3.2352476	7.1681247	0	15.115282	6.228027
KSW-C63_1_V_NODE_381_length_6610_cov_12.700534||full	5.28248	2.1865506	8.810751	4.651397	6.194471	0	21.072252	9.565746
KSW-C63_1_V_NODE_390_length_6558_cov_25.738736||full	31.93238	24.151781	18.691017	12.3993	37.77267	13.217618	7.593166	10.419089
KSW-C63_1_V_NODE_397_length_6479_cov_5.551214||full	2.6372151	1.8733555	2.665485	0	4.0899763	0	2.817601	0
KSW-C63_1_V_NODE_401_length_6451_cov_5.047217||full	0	0	2.8582182	10.019441	0	0	15.015296	7.9990025
KSW-C63_1_V_NODE_402_length_6445_cov_4.120031||full	0	0	3.7861037	0.8259782	2.7758996	0	1.9304832	0
