Contig	S12_0_3	S12_12_15	S12_21_24	S3_0_3	S3_12_15	S3_21_24	S9_0_3	S9_12_15	S9_21_24
KSD-NODE_6662_length_6676_cov_4.117807||full	7.471083	5.5695586	11.427828	0	0	0	17.30771	15.896461	7.9987636
KSD-NODE_6674_length_6670_cov_32.315949||full	79.61681	0	0	0	0	0	0	0	0
KSD-NODE_6699_length_6656_cov_6.098318||full	17.074955	0	0	0	0	0	0	0	0
KSD-NODE_6711_length_6648_cov_2.820567||full	7.904738	0	0	0	0	0	0	0	0
KSD-NODE_6733_length_6638_cov_5.272064||full	14.300595	0	0	0	0	0	0	0	0
KSD-NODE_6782_length_6606_cov_4.125172||full	11.3865795	0	0	0	0	0	0	0	0
KSD-NODE_6813_length_6585_cov_9.128178||full	24.189135	0	0	0	0	0	0	0	0
KSD-NODE_6857_length_6558_cov_3.638628||full	10.220986	0	0	0	0	0	0	0	0
KSD-NODE_6922_length_6513_cov_5.233819||full	14.000915	0	0	0	0	0	17.086615	0	0
KSD-NODE_6927_length_6510_cov_3.654531||full	8.278426	24.2453	10.794651	0	0	0	0	22.70796	12.055664
KSD-NODE_6954_length_6495_cov_4.518634||full	8.422546	0	0	0	0	0	0	0	9.455039
KSD-NODE_6984_length_6483_cov_8.447418||full	9.924166	52.364872	20.139336	0	0	0	0	38.184692	9.881348
KSD-NODE_6988_length_6481_cov_3.674136||full	10.325187	0	0	0	0	4.846783	0	0	0
KSD-NODE_6997_length_6477_cov_4.026160||full	11.425128	0	0	0	0	0	0	0	0
KSD-NODE_6999_length_6476_cov_5.879770||full	16.312304	0	0	0	0	0	0	0	0
KSD-NODE_7026_length_6461_cov_3.934280||full	11.193839	0	0	0	0	0	0	0	0
KSD-NODE_7044_length_6452_cov_5.479443||full	14.710767	12.733074	13.746659	0	35.58721	101.130615	0	0	0
KSD-NODE_7054_length_6449_cov_8.367376||full	23.219269	10.721202	18.527853	31.7373	70.21423	41.8451	0	0	15.902021
KSD-NODE_7099_length_6425_cov_5.464835||full	10.114534	0	0	0	0	0	0	0	0
KSD-NODE_7183_length_6381_cov_8.817578||full	24.374474	0	0	0	0	0	0	0	0
KSD-NODE_7269_length_6335_cov_4.244108||full	11.9352455	0	0	0	0	0	0	0	0
KSD-NODE_7276_length_6332_cov_5.749084||full	15.751828	4.023725	11.23031	0	0	5.181581	0	0	0
KSD-NODE_7342_length_6299_cov_7.087764||full	19.32475	36.981136	55.501633	0	7.122782	27.144117	17.661867	49.15964	44.07716
KSD-NODE_7349_length_6294_cov_10.048085||full	22.840515	0	0	0	0	0	0	0	0
KSD-NODE_7385_length_6280_cov_5.548755||full	14.086893	6.581313	9.962943	0	0	7.357279	0	0	0
KSD-NODE_7402_length_6272_cov_4.071578||full	9.059861	11.519793	27.119558	0	0	5.4504623	0	0	0
KSD-NODE_7413_length_6267_cov_5.601578||full	14.460634	7.176801	5.7765665	0	0	5.014129	0	0	0
KSD-NODE_7436_length_6254_cov_4.766091||full	12.692114	0	0	0	0	0	0	0	0
KSD-NODE_7456_length_6247_cov_3.498224||full	9.787318	0	0	0	0	0	0	0	0
KSD-NODE_7483_length_6237_cov_4.103041||full	11.520998	0	0	0	0	0	0	0	0
KSD-NODE_7508_length_6227_cov_6.434705||full	11.945614	0	0	0	0	0	0	0	0
KSD-NODE_7645_length_6160_cov_10.262244||full	28.379168	26.08283	28.041391	0	49.128323	38.409443	0	0	0
KSD-NODE_7648_length_6160_cov_4.054545||full	11.331568	0	0	0	0	0	0	0	0
KSD-NODE_7654_length_6159_cov_4.187090||full	7.3147993	3.58861	0	0	0	5.7032537	0	0	0
KSD-NODE_7698_length_6135_cov_8.715789||full	18.978327	4.6223783	0	0	65.36882	0	0	9.73862	29.85221
KSD-NODE_7717_length_6124_cov_4.035096||full	11.472833	0	0	0	0	0	0	0	0
KSD-NODE_7738_length_6115_cov_4.610231||full	12.805345	0	0	0	0	0	0	0	0
KSD-NODE_7802_length_6090_cov_4.156752||full	10.834151	0	0	0	0	0	0	0	0
KSD-NODE_7826_length_6078_cov_4.995517||full	11.377602	6.072025	6.5497212	0	9.549847	6.3084855	0	0	7.757252
KSD-NODE_7853_length_6063_cov_19.895140||full	45.755585	7.4232416	34.469707	0	72.94708	7.901402	0	26.810139	30.13576
KSD-NODE_8013_length_5988_cov_7.090511||full	11.015142	7.250796	0	0	18.291353	4.090222	0	6.018406	8.322313
KSD-NODE_8126_length_5945_cov_3.746350||full	11.279041	0	0	0	0	0	0	0	0
KSD-NODE_8175_length_5924_cov_4.508264||full	12.765734	0	0	0	0	0	0	0	0
KSD-NODE_8201_length_5913_cov_3.474394||full	10.3351965	0	0	0	0	0	0	0	0
KSD-NODE_8238_length_5893_cov_6.319973||full	17.686893	0	0	0	0	0	0	0	0
KSD-NODE_8248_length_5887_cov_4.709362||full	13.392646	0	0	0	0	0	0	0	0
KSD-NODE_8259_length_5883_cov_4.016472||full	11.224576	0	0	0	0	0	0	0	0
KSD-NODE_8289_length_5867_cov_5.100826||full	14.387952	0	0	0	0	0	0	0	0
KSD-NODE_8290_length_5867_cov_4.955093||full	13.433743	0	0	0	0	0	0	0	0
KSD-NODE_8336_length_5847_cov_21.387086||full	48.425167	0	0	0	0	0	0	0	0
KSD-NODE_8378_length_5828_cov_10.675385||full	28.189417	13.301237	11.820322	0	5.800128	20.39269	0	0	0
KSD-NODE_8432_length_5802_cov_10.570211||full	26.341385	6.7215457	10.785746	0	0	6.3719106	0	0	0
KSD-NODE_8528_length_5761_cov_3.537329||full	10.390156	4.788021	3.2740526	0	0	8.953814	0	0	0
KSD-NODE_8564_length_5744_cov_4.632273||full	13.348084	0	0	0	0	0	0	0	0
KSD-NODE_8604_length_5727_cov_3.563293||full	9.644584	0	0	0	0	0	0	0	0
KSD-NODE_8607_length_5725_cov_4.330511||full	11.884759	0	0	0	0	0	0	0	0
KSD-NODE_8634_length_5712_cov_5.914619||full	12.857429	5.596581	0	0	0	0	0	0	0
KSD-NODE_8669_length_5700_cov_4.392560||full	12.044409	0	0	0	0	0	0	0	0
