	C0_1_C	C0_2_C	C63_1_C	C63_2_C
KSW-C63_2_V_NODE_65_length_17002_cov_14.258158||full	5.66524696797476	4.29516010893037	7.01085873809751	5.94189050585276
KSW-C63_2_V_NODE_74_length_16168_cov_4.891020||full	4.8115421632051	5.40108786178298	5.04812367255347	5.0816541107066
KSW-C63_2_V_NODE_76_length_16009_cov_7.100852||full	9.28852318706804	9.2467419076231	10.0195048322641	9.47184951459598
KSW-C63_2_V_NODE_80_length_15505_cov_7.763172||full	6.35728865811394	3.99884677796349	7.65578046781163	6.19383799350586
KSW-C63_2_V_NODE_85_length_14866_cov_1109.031801||full	8.63156360474214	8.62459342222172	7.7924800206513	8.78879340722321
KSW-C63_2_V_NODE_90_length_14539_cov_8.543772||full	9.09964744028142	9.38669115879138	10.0264476538824	9.09558859815922
KSW-C63_2_V_NODE_95_length_13956_cov_4.932811||full	4.88843976645784	4.95962625952371	5.43756838894754	5.0816541107066
KSW-C63_2_V_NODE_105_length_13455_cov_10.345004||full	2.5317251510737	3.15203005540446	3.46463352344005	2.5317251510737
KSW-C63_2_V_NODE_117_length_12843_cov_6.483422||full	9.91842183428635	9.77243523173774	10.4675691896037	10.2782095997007
KSW-C63_2_V_NODE_119_length_12603_cov_8.094916||full	5.43479034681335	6.67847442417654	5.59771447755709	4.89964314992705
KSW-C63_2_V_NODE_120_length_12558_cov_7.336399||full	3.54162108714587	4.73290151728729	4.3145874887721	2.5317251510737
KSW-C63_2_V_NODE_123_length_12521_cov_8.024627||full	9.75803175141798	9.77958098763452	10.6037731705995	10.4401131330644
KSW-C63_2_V_NODE_133_length_12160_cov_19.647997||full	4.08517143508171	4.20447280754932	3.46463352344005	4.68888125033889
KSW-C63_2_V_NODE_135_length_12133_cov_25.632803||full	6.96482498240664	8.40185981374941	7.40159126089567	7.31134062223544
KSW-C63_2_V_NODE_137_length_12055_cov_7.291500||full	10.1884806991568	9.93165770900308	10.485314708066	10.621648353524
KSW-C63_2_V_NODE_142_length_11875_cov_59.274535||full	7.75832892165726	6.33321716727396	8.36369235612247	7.76221980621498
KSW-C63_2_V_NODE_149_length_11446_cov_5.030111||full	4.88843976645784	4.10625362164894	5.74142588775251	4.43726575838817
